encoder_embed_dim,encoder_layer_num,encoder_ffn_embed_dim_0,encoder_ffn_embed_dim_1,encoder_ffn_embed_dim_2,encoder_ffn_embed_dim_3,encoder_ffn_embed_dim_4,encoder_ffn_embed_dim_5,encoder_ffn_embed_dim_6,encoder_ffn_embed_dim_7,encoder_ffn_embed_dim_8,encoder_ffn_embed_dim_9,encoder_ffn_embed_dim_10,encoder_ffn_embed_dim_11,encoder_self_attention_heads_0,encoder_self_attention_heads_1,encoder_self_attention_heads_2,encoder_self_attention_heads_3,encoder_self_attention_heads_4,encoder_self_attention_heads_5,encoder_self_attention_heads_6,encoder_self_attention_heads_7,encoder_self_attention_heads_8,encoder_self_attention_heads_9,encoder_self_attention_heads_10,encoder_self_attention_heads_11,latency,temp
600.0,8.0,3072.0,1024.0,1024.0,512.0,512.0,1024.0,2048.0,3072.0,-1.0,-1.0,-1.0,-1.0,2.0,6.0,12.0,10.0,10.0,12.0,12.0,8.0,-1.0,-1.0,-1.0,-1.0,1.6886552734375,32.0
600.0,8.0,3072.0,1024.0,1024.0,512.0,512.0,1024.0,2048.0,3072.0,-1.0,-1.0,-1.0,-1.0,2.0,6.0,12.0,10.0,10.0,12.0,12.0,8.0,-1.0,-1.0,-1.0,-1.0,1.745423828125,34.0
600.0,8.0,3072.0,1024.0,1024.0,512.0,512.0,1024.0,2048.0,3072.0,-1.0,-1.0,-1.0,-1.0,2.0,6.0,12.0,10.0,10.0,12.0,12.0,8.0,-1.0,-1.0,-1.0,-1.0,1.6966143798828126,35.0
600.0,8.0,3072.0,1024.0,1024.0,512.0,512.0,1024.0,2048.0,3072.0,-1.0,-1.0,-1.0,-1.0,2.0,6.0,12.0,10.0,10.0,12.0,12.0,8.0,-1.0,-1.0,-1.0,-1.0,1.6683843994140626,36.0
600.0,8.0,3072.0,1024.0,1024.0,512.0,512.0,1024.0,2048.0,3072.0,-1.0,-1.0,-1.0,-1.0,2.0,6.0,12.0,10.0,10.0,12.0,12.0,8.0,-1.0,-1.0,-1.0,-1.0,1.787193603515625,37.0
600.0,8.0,3072.0,1024.0,1024.0,512.0,512.0,1024.0,2048.0,3072.0,-1.0,-1.0,-1.0,-1.0,2.0,6.0,12.0,10.0,10.0,12.0,12.0,8.0,-1.0,-1.0,-1.0,-1.0,1.6602864990234374,37.0
600.0,8.0,3072.0,1024.0,1024.0,512.0,512.0,1024.0,2048.0,3072.0,-1.0,-1.0,-1.0,-1.0,2.0,6.0,12.0,10.0,10.0,12.0,12.0,8.0,-1.0,-1.0,-1.0,-1.0,1.7009437255859374,38.0
600.0,8.0,3072.0,1024.0,1024.0,512.0,512.0,1024.0,2048.0,3072.0,-1.0,-1.0,-1.0,-1.0,2.0,6.0,12.0,10.0,10.0,12.0,12.0,8.0,-1.0,-1.0,-1.0,-1.0,1.7637186279296875,39.0
600.0,8.0,3072.0,1024.0,1024.0,512.0,512.0,1024.0,2048.0,3072.0,-1.0,-1.0,-1.0,-1.0,2.0,6.0,12.0,10.0,10.0,12.0,12.0,8.0,-1.0,-1.0,-1.0,-1.0,1.6900152587890624,40.0
600.0,8.0,3072.0,1024.0,1024.0,512.0,512.0,1024.0,2048.0,3072.0,-1.0,-1.0,-1.0,-1.0,2.0,6.0,12.0,10.0,10.0,12.0,12.0,8.0,-1.0,-1.0,-1.0,-1.0,1.7504862060546875,41.0
600.0,8.0,3072.0,1024.0,1024.0,512.0,512.0,1024.0,2048.0,3072.0,-1.0,-1.0,-1.0,-1.0,2.0,6.0,12.0,10.0,10.0,12.0,12.0,8.0,-1.0,-1.0,-1.0,-1.0,1.7825587158203124,42.0
600.0,8.0,3072.0,1024.0,1024.0,512.0,512.0,1024.0,2048.0,3072.0,-1.0,-1.0,-1.0,-1.0,2.0,6.0,12.0,10.0,10.0,12.0,12.0,8.0,-1.0,-1.0,-1.0,-1.0,1.5895872802734374,42.0
600.0,8.0,3072.0,1024.0,1024.0,512.0,512.0,1024.0,2048.0,3072.0,-1.0,-1.0,-1.0,-1.0,2.0,6.0,12.0,10.0,10.0,12.0,12.0,8.0,-1.0,-1.0,-1.0,-1.0,1.67341259765625,44.0
600.0,8.0,3072.0,1024.0,1024.0,512.0,512.0,1024.0,2048.0,3072.0,-1.0,-1.0,-1.0,-1.0,2.0,6.0,12.0,10.0,10.0,12.0,12.0,8.0,-1.0,-1.0,-1.0,-1.0,1.7684122314453126,44.0
600.0,8.0,3072.0,1024.0,1024.0,512.0,512.0,1024.0,2048.0,3072.0,-1.0,-1.0,-1.0,-1.0,2.0,6.0,12.0,10.0,10.0,12.0,12.0,8.0,-1.0,-1.0,-1.0,-1.0,1.7476591796875,45.0
600.0,8.0,3072.0,1024.0,1024.0,512.0,512.0,1024.0,2048.0,3072.0,-1.0,-1.0,-1.0,-1.0,2.0,6.0,12.0,10.0,10.0,12.0,12.0,8.0,-1.0,-1.0,-1.0,-1.0,1.711088134765625,45.0
600.0,8.0,3072.0,1024.0,1024.0,512.0,512.0,1024.0,2048.0,3072.0,-1.0,-1.0,-1.0,-1.0,2.0,6.0,12.0,10.0,10.0,12.0,12.0,8.0,-1.0,-1.0,-1.0,-1.0,1.8248033447265626,46.0
600.0,8.0,3072.0,1024.0,1024.0,512.0,512.0,1024.0,2048.0,3072.0,-1.0,-1.0,-1.0,-1.0,2.0,6.0,12.0,10.0,10.0,12.0,12.0,8.0,-1.0,-1.0,-1.0,-1.0,1.75884033203125,46.0
600.0,8.0,3072.0,1024.0,1024.0,512.0,512.0,1024.0,2048.0,3072.0,-1.0,-1.0,-1.0,-1.0,2.0,6.0,12.0,10.0,10.0,12.0,12.0,8.0,-1.0,-1.0,-1.0,-1.0,1.7724232177734376,47.0
600.0,8.0,3072.0,1024.0,1024.0,512.0,512.0,1024.0,2048.0,3072.0,-1.0,-1.0,-1.0,-1.0,2.0,6.0,12.0,10.0,10.0,12.0,12.0,8.0,-1.0,-1.0,-1.0,-1.0,1.734956787109375,48.0
600.0,8.0,3072.0,1024.0,1024.0,512.0,512.0,1024.0,2048.0,3072.0,-1.0,-1.0,-1.0,-1.0,2.0,6.0,12.0,10.0,10.0,12.0,12.0,8.0,-1.0,-1.0,-1.0,-1.0,1.7172781982421874,48.0
600.0,8.0,3072.0,1024.0,1024.0,512.0,512.0,1024.0,2048.0,3072.0,-1.0,-1.0,-1.0,-1.0,2.0,6.0,12.0,10.0,10.0,12.0,12.0,8.0,-1.0,-1.0,-1.0,-1.0,1.6563192138671874,49.0
600.0,8.0,3072.0,1024.0,1024.0,512.0,512.0,1024.0,2048.0,3072.0,-1.0,-1.0,-1.0,-1.0,2.0,6.0,12.0,10.0,10.0,12.0,12.0,8.0,-1.0,-1.0,-1.0,-1.0,1.7170491943359374,50.0
600.0,8.0,3072.0,1024.0,1024.0,512.0,512.0,1024.0,2048.0,3072.0,-1.0,-1.0,-1.0,-1.0,2.0,6.0,12.0,10.0,10.0,12.0,12.0,8.0,-1.0,-1.0,-1.0,-1.0,1.6969930419921875,51.0
600.0,8.0,3072.0,1024.0,1024.0,512.0,512.0,1024.0,2048.0,3072.0,-1.0,-1.0,-1.0,-1.0,2.0,6.0,12.0,10.0,10.0,12.0,12.0,8.0,-1.0,-1.0,-1.0,-1.0,1.6739019775390624,51.0
600.0,8.0,3072.0,1024.0,1024.0,512.0,512.0,1024.0,2048.0,3072.0,-1.0,-1.0,-1.0,-1.0,2.0,6.0,12.0,10.0,10.0,12.0,12.0,8.0,-1.0,-1.0,-1.0,-1.0,1.6870301513671875,52.0
600.0,8.0,3072.0,1024.0,1024.0,512.0,512.0,1024.0,2048.0,3072.0,-1.0,-1.0,-1.0,-1.0,2.0,6.0,12.0,10.0,10.0,12.0,12.0,8.0,-1.0,-1.0,-1.0,-1.0,1.7034801025390625,53.0
