encoder_embed_dim,encoder_layer_num,encoder_ffn_embed_dim_0,encoder_ffn_embed_dim_1,encoder_ffn_embed_dim_2,encoder_ffn_embed_dim_3,encoder_ffn_embed_dim_4,encoder_ffn_embed_dim_5,encoder_ffn_embed_dim_6,encoder_ffn_embed_dim_7,encoder_ffn_embed_dim_8,encoder_ffn_embed_dim_9,encoder_ffn_embed_dim_10,encoder_ffn_embed_dim_11,encoder_self_attention_heads_0,encoder_self_attention_heads_1,encoder_self_attention_heads_2,encoder_self_attention_heads_3,encoder_self_attention_heads_4,encoder_self_attention_heads_5,encoder_self_attention_heads_6,encoder_self_attention_heads_7,encoder_self_attention_heads_8,encoder_self_attention_heads_9,encoder_self_attention_heads_10,encoder_self_attention_heads_11,latency,temp
360.0,8.0,3072.0,512.0,3072.0,512.0,3072.0,1024.0,1024.0,512.0,-1.0,-1.0,-1.0,-1.0,12.0,6.0,10.0,8.0,6.0,2.0,12.0,2.0,-1.0,-1.0,-1.0,-1.0,5.5563857421875,25.0
360.0,8.0,3072.0,512.0,3072.0,512.0,3072.0,1024.0,1024.0,512.0,-1.0,-1.0,-1.0,-1.0,12.0,6.0,10.0,8.0,6.0,2.0,12.0,2.0,-1.0,-1.0,-1.0,-1.0,5.5441337890625,31.0
360.0,8.0,3072.0,512.0,3072.0,512.0,3072.0,1024.0,1024.0,512.0,-1.0,-1.0,-1.0,-1.0,12.0,6.0,10.0,8.0,6.0,2.0,12.0,2.0,-1.0,-1.0,-1.0,-1.0,5.47223046875,29.0
360.0,8.0,3072.0,512.0,3072.0,512.0,3072.0,1024.0,1024.0,512.0,-1.0,-1.0,-1.0,-1.0,12.0,6.0,10.0,8.0,6.0,2.0,12.0,2.0,-1.0,-1.0,-1.0,-1.0,5.76536474609375,30.0
360.0,8.0,3072.0,512.0,3072.0,512.0,3072.0,1024.0,1024.0,512.0,-1.0,-1.0,-1.0,-1.0,12.0,6.0,10.0,8.0,6.0,2.0,12.0,2.0,-1.0,-1.0,-1.0,-1.0,5.96244091796875,29.0
480.0,12.0,512.0,512.0,512.0,512.0,2048.0,1024.0,3072.0,3072.0,1024.0,3072.0,2048.0,2048.0,8.0,10.0,10.0,12.0,10.0,2.0,6.0,6.0,4.0,2.0,6.0,12.0,8.2276806640625,26.0
480.0,12.0,512.0,512.0,512.0,512.0,2048.0,1024.0,3072.0,3072.0,1024.0,3072.0,2048.0,2048.0,8.0,10.0,10.0,12.0,10.0,2.0,6.0,6.0,4.0,2.0,6.0,12.0,8.13964990234375,32.0
480.0,12.0,512.0,512.0,512.0,512.0,2048.0,1024.0,3072.0,3072.0,1024.0,3072.0,2048.0,2048.0,8.0,10.0,10.0,12.0,10.0,2.0,6.0,6.0,4.0,2.0,6.0,12.0,8.3289189453125,31.0
480.0,12.0,512.0,512.0,512.0,512.0,2048.0,1024.0,3072.0,3072.0,1024.0,3072.0,2048.0,2048.0,8.0,10.0,10.0,12.0,10.0,2.0,6.0,6.0,4.0,2.0,6.0,12.0,8.38725390625,31.0
480.0,12.0,512.0,512.0,512.0,512.0,2048.0,1024.0,3072.0,3072.0,1024.0,3072.0,2048.0,2048.0,8.0,10.0,10.0,12.0,10.0,2.0,6.0,6.0,4.0,2.0,6.0,12.0,8.1747939453125,33.0
768.0,6.0,2048.0,1024.0,512.0,3072.0,3072.0,2048.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.0,6.0,12.0,4.0,6.0,4.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.18282177734375,28.0
768.0,6.0,2048.0,1024.0,512.0,3072.0,3072.0,2048.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.0,6.0,12.0,4.0,6.0,4.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.920212890625,32.0
768.0,6.0,2048.0,1024.0,512.0,3072.0,3072.0,2048.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.0,6.0,12.0,4.0,6.0,4.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.03597314453125,31.0
768.0,6.0,2048.0,1024.0,512.0,3072.0,3072.0,2048.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.0,6.0,12.0,4.0,6.0,4.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.08087060546875,32.0
768.0,6.0,2048.0,1024.0,512.0,3072.0,3072.0,2048.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.0,6.0,12.0,4.0,6.0,4.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.9982880859375,31.0
480.0,8.0,3072.0,3072.0,2048.0,512.0,3072.0,1024.0,512.0,3072.0,-1.0,-1.0,-1.0,-1.0,2.0,2.0,10.0,10.0,4.0,6.0,12.0,4.0,-1.0,-1.0,-1.0,-1.0,7.2939306640625,28.0
480.0,8.0,3072.0,3072.0,2048.0,512.0,3072.0,1024.0,512.0,3072.0,-1.0,-1.0,-1.0,-1.0,2.0,2.0,10.0,10.0,4.0,6.0,12.0,4.0,-1.0,-1.0,-1.0,-1.0,6.80512841796875,32.0
480.0,8.0,3072.0,3072.0,2048.0,512.0,3072.0,1024.0,512.0,3072.0,-1.0,-1.0,-1.0,-1.0,2.0,2.0,10.0,10.0,4.0,6.0,12.0,4.0,-1.0,-1.0,-1.0,-1.0,6.92775830078125,31.0
480.0,8.0,3072.0,3072.0,2048.0,512.0,3072.0,1024.0,512.0,3072.0,-1.0,-1.0,-1.0,-1.0,2.0,2.0,10.0,10.0,4.0,6.0,12.0,4.0,-1.0,-1.0,-1.0,-1.0,7.16018359375,31.0
480.0,8.0,3072.0,3072.0,2048.0,512.0,3072.0,1024.0,512.0,3072.0,-1.0,-1.0,-1.0,-1.0,2.0,2.0,10.0,10.0,4.0,6.0,12.0,4.0,-1.0,-1.0,-1.0,-1.0,7.1304736328125,33.0
540.0,12.0,1024.0,3072.0,3072.0,3072.0,512.0,512.0,2048.0,2048.0,2048.0,3072.0,512.0,1024.0,2.0,2.0,2.0,4.0,4.0,6.0,10.0,6.0,10.0,4.0,2.0,2.0,10.0648623046875,28.0
540.0,12.0,1024.0,3072.0,3072.0,3072.0,512.0,512.0,2048.0,2048.0,2048.0,3072.0,512.0,1024.0,2.0,2.0,2.0,4.0,4.0,6.0,10.0,6.0,10.0,4.0,2.0,2.0,9.715873046875,32.0
540.0,12.0,1024.0,3072.0,3072.0,3072.0,512.0,512.0,2048.0,2048.0,2048.0,3072.0,512.0,1024.0,2.0,2.0,2.0,4.0,4.0,6.0,10.0,6.0,10.0,4.0,2.0,2.0,9.7108896484375,32.0
540.0,12.0,1024.0,3072.0,3072.0,3072.0,512.0,512.0,2048.0,2048.0,2048.0,3072.0,512.0,1024.0,2.0,2.0,2.0,4.0,4.0,6.0,10.0,6.0,10.0,4.0,2.0,2.0,9.57112109375,34.0
