encoder_embed_dim,encoder_layer_num,encoder_ffn_embed_dim_0,encoder_ffn_embed_dim_1,encoder_ffn_embed_dim_2,encoder_ffn_embed_dim_3,encoder_ffn_embed_dim_4,encoder_ffn_embed_dim_5,encoder_ffn_embed_dim_6,encoder_ffn_embed_dim_7,encoder_ffn_embed_dim_8,encoder_ffn_embed_dim_9,encoder_ffn_embed_dim_10,encoder_ffn_embed_dim_11,encoder_self_attention_heads_0,encoder_self_attention_heads_1,encoder_self_attention_heads_2,encoder_self_attention_heads_3,encoder_self_attention_heads_4,encoder_self_attention_heads_5,encoder_self_attention_heads_6,encoder_self_attention_heads_7,encoder_self_attention_heads_8,encoder_self_attention_heads_9,encoder_self_attention_heads_10,encoder_self_attention_heads_11,latency,temp
540.0,10.0,3072.0,2048.0,2048.0,512.0,2048.0,3072.0,1024.0,512.0,2048.0,3072.0,-1.0,-1.0,12.0,6.0,6.0,10.0,6.0,2.0,12.0,6.0,12.0,6.0,-1.0,-1.0,7.21525634765625,25.0
540.0,10.0,3072.0,2048.0,2048.0,512.0,2048.0,3072.0,1024.0,512.0,2048.0,3072.0,-1.0,-1.0,12.0,6.0,6.0,10.0,6.0,2.0,12.0,6.0,12.0,6.0,-1.0,-1.0,7.3189140625,32.0
540.0,10.0,3072.0,2048.0,2048.0,512.0,2048.0,3072.0,1024.0,512.0,2048.0,3072.0,-1.0,-1.0,12.0,6.0,6.0,10.0,6.0,2.0,12.0,6.0,12.0,6.0,-1.0,-1.0,7.60603662109375,34.0
540.0,10.0,3072.0,2048.0,2048.0,512.0,2048.0,3072.0,1024.0,512.0,2048.0,3072.0,-1.0,-1.0,12.0,6.0,6.0,10.0,6.0,2.0,12.0,6.0,12.0,6.0,-1.0,-1.0,7.56854052734375,36.0
540.0,10.0,3072.0,2048.0,2048.0,512.0,2048.0,3072.0,1024.0,512.0,2048.0,3072.0,-1.0,-1.0,12.0,6.0,6.0,10.0,6.0,2.0,12.0,6.0,12.0,6.0,-1.0,-1.0,7.3413056640625,37.0
360.0,10.0,512.0,3072.0,2048.0,1024.0,2048.0,512.0,3072.0,512.0,512.0,2048.0,-1.0,-1.0,10.0,6.0,10.0,4.0,12.0,12.0,12.0,4.0,2.0,12.0,-1.0,-1.0,4.85613671875,31.0
360.0,10.0,512.0,3072.0,2048.0,1024.0,2048.0,512.0,3072.0,512.0,512.0,2048.0,-1.0,-1.0,10.0,6.0,10.0,4.0,12.0,12.0,12.0,4.0,2.0,12.0,-1.0,-1.0,4.66109228515625,36.0
360.0,10.0,512.0,3072.0,2048.0,1024.0,2048.0,512.0,3072.0,512.0,512.0,2048.0,-1.0,-1.0,10.0,6.0,10.0,4.0,12.0,12.0,12.0,4.0,2.0,12.0,-1.0,-1.0,4.6151240234375,36.0
360.0,10.0,512.0,3072.0,2048.0,1024.0,2048.0,512.0,3072.0,512.0,512.0,2048.0,-1.0,-1.0,10.0,6.0,10.0,4.0,12.0,12.0,12.0,4.0,2.0,12.0,-1.0,-1.0,4.5320888671875,35.0
360.0,10.0,512.0,3072.0,2048.0,1024.0,2048.0,512.0,3072.0,512.0,512.0,2048.0,-1.0,-1.0,10.0,6.0,10.0,4.0,12.0,12.0,12.0,4.0,2.0,12.0,-1.0,-1.0,4.47353564453125,36.0
480.0,10.0,2048.0,512.0,3072.0,2048.0,1024.0,2048.0,2048.0,512.0,3072.0,1024.0,-1.0,-1.0,2.0,6.0,12.0,8.0,6.0,2.0,10.0,10.0,2.0,12.0,-1.0,-1.0,6.23547412109375,30.0
480.0,10.0,2048.0,512.0,3072.0,2048.0,1024.0,2048.0,2048.0,512.0,3072.0,1024.0,-1.0,-1.0,2.0,6.0,12.0,8.0,6.0,2.0,10.0,10.0,2.0,12.0,-1.0,-1.0,5.9005400390625,39.0
480.0,10.0,2048.0,512.0,3072.0,2048.0,1024.0,2048.0,2048.0,512.0,3072.0,1024.0,-1.0,-1.0,2.0,6.0,12.0,8.0,6.0,2.0,10.0,10.0,2.0,12.0,-1.0,-1.0,6.05498876953125,38.0
480.0,10.0,2048.0,512.0,3072.0,2048.0,1024.0,2048.0,2048.0,512.0,3072.0,1024.0,-1.0,-1.0,2.0,6.0,12.0,8.0,6.0,2.0,10.0,10.0,2.0,12.0,-1.0,-1.0,5.96624072265625,39.0
480.0,10.0,2048.0,512.0,3072.0,2048.0,1024.0,2048.0,2048.0,512.0,3072.0,1024.0,-1.0,-1.0,2.0,6.0,12.0,8.0,6.0,2.0,10.0,10.0,2.0,12.0,-1.0,-1.0,6.00272265625,39.0
360.0,10.0,512.0,512.0,2048.0,3072.0,2048.0,512.0,3072.0,1024.0,3072.0,1024.0,-1.0,-1.0,4.0,6.0,2.0,2.0,2.0,10.0,4.0,2.0,2.0,12.0,-1.0,-1.0,4.846294921875,32.0
360.0,10.0,512.0,512.0,2048.0,3072.0,2048.0,512.0,3072.0,1024.0,3072.0,1024.0,-1.0,-1.0,4.0,6.0,2.0,2.0,2.0,10.0,4.0,2.0,2.0,12.0,-1.0,-1.0,4.6718505859375,38.0
360.0,10.0,512.0,512.0,2048.0,3072.0,2048.0,512.0,3072.0,1024.0,3072.0,1024.0,-1.0,-1.0,4.0,6.0,2.0,2.0,2.0,10.0,4.0,2.0,2.0,12.0,-1.0,-1.0,4.8199892578125,39.0
360.0,10.0,512.0,512.0,2048.0,3072.0,2048.0,512.0,3072.0,1024.0,3072.0,1024.0,-1.0,-1.0,4.0,6.0,2.0,2.0,2.0,10.0,4.0,2.0,2.0,12.0,-1.0,-1.0,4.7210302734375,41.0
360.0,10.0,512.0,512.0,2048.0,3072.0,2048.0,512.0,3072.0,1024.0,3072.0,1024.0,-1.0,-1.0,4.0,6.0,2.0,2.0,2.0,10.0,4.0,2.0,2.0,12.0,-1.0,-1.0,4.71290966796875,40.0
768.0,10.0,3072.0,512.0,1024.0,3072.0,1024.0,3072.0,3072.0,3072.0,512.0,512.0,-1.0,-1.0,12.0,2.0,4.0,4.0,2.0,4.0,6.0,8.0,8.0,2.0,-1.0,-1.0,9.8018232421875,31.0
768.0,10.0,3072.0,512.0,1024.0,3072.0,1024.0,3072.0,3072.0,3072.0,512.0,512.0,-1.0,-1.0,12.0,2.0,4.0,4.0,2.0,4.0,6.0,8.0,8.0,2.0,-1.0,-1.0,10.0150654296875,38.0
768.0,10.0,3072.0,512.0,1024.0,3072.0,1024.0,3072.0,3072.0,3072.0,512.0,512.0,-1.0,-1.0,12.0,2.0,4.0,4.0,2.0,4.0,6.0,8.0,8.0,2.0,-1.0,-1.0,9.9137392578125,40.0
768.0,10.0,3072.0,512.0,1024.0,3072.0,1024.0,3072.0,3072.0,3072.0,512.0,512.0,-1.0,-1.0,12.0,2.0,4.0,4.0,2.0,4.0,6.0,8.0,8.0,2.0,-1.0,-1.0,9.1393984375,39.0
768.0,10.0,3072.0,512.0,1024.0,3072.0,1024.0,3072.0,3072.0,3072.0,512.0,512.0,-1.0,-1.0,12.0,2.0,4.0,4.0,2.0,4.0,6.0,8.0,8.0,2.0,-1.0,-1.0,9.932392578125,42.0
480.0,10.0,512.0,512.0,512.0,512.0,1024.0,1024.0,2048.0,3072.0,3072.0,1024.0,-1.0,-1.0,4.0,10.0,6.0,6.0,4.0,4.0,12.0,12.0,2.0,2.0,-1.0,-1.0,5.51851318359375,34.0
480.0,10.0,512.0,512.0,512.0,512.0,1024.0,1024.0,2048.0,3072.0,3072.0,1024.0,-1.0,-1.0,4.0,10.0,6.0,6.0,4.0,4.0,12.0,12.0,2.0,2.0,-1.0,-1.0,5.2433154296875,43.0
480.0,10.0,512.0,512.0,512.0,512.0,1024.0,1024.0,2048.0,3072.0,3072.0,1024.0,-1.0,-1.0,4.0,10.0,6.0,6.0,4.0,4.0,12.0,12.0,2.0,2.0,-1.0,-1.0,5.30534716796875,42.0
480.0,10.0,512.0,512.0,512.0,512.0,1024.0,1024.0,2048.0,3072.0,3072.0,1024.0,-1.0,-1.0,4.0,10.0,6.0,6.0,4.0,4.0,12.0,12.0,2.0,2.0,-1.0,-1.0,4.7495126953125,39.0
480.0,10.0,512.0,512.0,512.0,512.0,1024.0,1024.0,2048.0,3072.0,3072.0,1024.0,-1.0,-1.0,4.0,10.0,6.0,6.0,4.0,4.0,12.0,12.0,2.0,2.0,-1.0,-1.0,4.9240380859375,39.0
480.0,8.0,512.0,1024.0,512.0,1024.0,2048.0,3072.0,1024.0,512.0,-1.0,-1.0,-1.0,-1.0,4.0,6.0,12.0,12.0,2.0,10.0,6.0,8.0,-1.0,-1.0,-1.0,-1.0,4.35310791015625,34.0
480.0,8.0,512.0,1024.0,512.0,1024.0,2048.0,3072.0,1024.0,512.0,-1.0,-1.0,-1.0,-1.0,4.0,6.0,12.0,12.0,2.0,10.0,6.0,8.0,-1.0,-1.0,-1.0,-1.0,4.43171630859375,40.0
480.0,8.0,512.0,1024.0,512.0,1024.0,2048.0,3072.0,1024.0,512.0,-1.0,-1.0,-1.0,-1.0,4.0,6.0,12.0,12.0,2.0,10.0,6.0,8.0,-1.0,-1.0,-1.0,-1.0,4.435013671875,40.0
480.0,8.0,512.0,1024.0,512.0,1024.0,2048.0,3072.0,1024.0,512.0,-1.0,-1.0,-1.0,-1.0,4.0,6.0,12.0,12.0,2.0,10.0,6.0,8.0,-1.0,-1.0,-1.0,-1.0,4.4295576171875,40.0
480.0,8.0,512.0,1024.0,512.0,1024.0,2048.0,3072.0,1024.0,512.0,-1.0,-1.0,-1.0,-1.0,4.0,6.0,12.0,12.0,2.0,10.0,6.0,8.0,-1.0,-1.0,-1.0,-1.0,4.407654296875,40.0
540.0,12.0,1024.0,1024.0,1024.0,3072.0,1024.0,512.0,1024.0,3072.0,1024.0,3072.0,512.0,1024.0,12.0,4.0,2.0,4.0,10.0,10.0,10.0,4.0,12.0,2.0,12.0,10.0,6.970201171875,33.0
540.0,12.0,1024.0,1024.0,1024.0,3072.0,1024.0,512.0,1024.0,3072.0,1024.0,3072.0,512.0,1024.0,12.0,4.0,2.0,4.0,10.0,10.0,10.0,4.0,12.0,2.0,12.0,10.0,6.9259169921875,38.0
540.0,12.0,1024.0,1024.0,1024.0,3072.0,1024.0,512.0,1024.0,3072.0,1024.0,3072.0,512.0,1024.0,12.0,4.0,2.0,4.0,10.0,10.0,10.0,4.0,12.0,2.0,12.0,10.0,7.15571923828125,38.0
540.0,12.0,1024.0,1024.0,1024.0,3072.0,1024.0,512.0,1024.0,3072.0,1024.0,3072.0,512.0,1024.0,12.0,4.0,2.0,4.0,10.0,10.0,10.0,4.0,12.0,2.0,12.0,10.0,7.0684619140625,39.0
540.0,12.0,1024.0,1024.0,1024.0,3072.0,1024.0,512.0,1024.0,3072.0,1024.0,3072.0,512.0,1024.0,12.0,4.0,2.0,4.0,10.0,10.0,10.0,4.0,12.0,2.0,12.0,10.0,7.257763671875,39.0
480.0,6.0,2048.0,512.0,2048.0,512.0,3072.0,512.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.0,4.0,2.0,6.0,4.0,12.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.1134296875,35.0
480.0,6.0,2048.0,512.0,2048.0,512.0,3072.0,512.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.0,4.0,2.0,6.0,4.0,12.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.90054296875,38.0
480.0,6.0,2048.0,512.0,2048.0,512.0,3072.0,512.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.0,4.0,2.0,6.0,4.0,12.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.988835693359375,38.0
480.0,6.0,2048.0,512.0,2048.0,512.0,3072.0,512.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.0,4.0,2.0,6.0,4.0,12.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.066881591796875,39.0
480.0,6.0,2048.0,512.0,2048.0,512.0,3072.0,512.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.0,4.0,2.0,6.0,4.0,12.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.950342041015625,40.0
768.0,6.0,3072.0,512.0,1024.0,3072.0,1024.0,512.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,12.0,8.0,6.0,4.0,8.0,12.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6.055798828125,32.0
768.0,6.0,3072.0,512.0,1024.0,3072.0,1024.0,512.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,12.0,8.0,6.0,4.0,8.0,12.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6.10583056640625,39.0
768.0,6.0,3072.0,512.0,1024.0,3072.0,1024.0,512.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,12.0,8.0,6.0,4.0,8.0,12.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5.90546142578125,40.0
768.0,6.0,3072.0,512.0,1024.0,3072.0,1024.0,512.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,12.0,8.0,6.0,4.0,8.0,12.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5.9818740234375,37.0
768.0,6.0,3072.0,512.0,1024.0,3072.0,1024.0,512.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,12.0,8.0,6.0,4.0,8.0,12.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6.13893017578125,42.0
360.0,12.0,2048.0,512.0,512.0,3072.0,512.0,1024.0,3072.0,512.0,1024.0,512.0,3072.0,3072.0,4.0,4.0,6.0,2.0,2.0,10.0,8.0,10.0,4.0,4.0,10.0,2.0,5.69055029296875,33.0
360.0,12.0,2048.0,512.0,512.0,3072.0,512.0,1024.0,3072.0,512.0,1024.0,512.0,3072.0,3072.0,4.0,4.0,6.0,2.0,2.0,10.0,8.0,10.0,4.0,4.0,10.0,2.0,5.2055693359375,40.0
360.0,12.0,2048.0,512.0,512.0,3072.0,512.0,1024.0,3072.0,512.0,1024.0,512.0,3072.0,3072.0,4.0,4.0,6.0,2.0,2.0,10.0,8.0,10.0,4.0,4.0,10.0,2.0,5.5049248046875,38.0
360.0,12.0,2048.0,512.0,512.0,3072.0,512.0,1024.0,3072.0,512.0,1024.0,512.0,3072.0,3072.0,4.0,4.0,6.0,2.0,2.0,10.0,8.0,10.0,4.0,4.0,10.0,2.0,5.21757373046875,41.0
