encoder_embed_dim,encoder_layer_num,encoder_ffn_embed_dim_0,encoder_ffn_embed_dim_1,encoder_ffn_embed_dim_2,encoder_ffn_embed_dim_3,encoder_ffn_embed_dim_4,encoder_ffn_embed_dim_5,encoder_ffn_embed_dim_6,encoder_ffn_embed_dim_7,encoder_ffn_embed_dim_8,encoder_ffn_embed_dim_9,encoder_ffn_embed_dim_10,encoder_ffn_embed_dim_11,encoder_self_attention_heads_0,encoder_self_attention_heads_1,encoder_self_attention_heads_2,encoder_self_attention_heads_3,encoder_self_attention_heads_4,encoder_self_attention_heads_5,encoder_self_attention_heads_6,encoder_self_attention_heads_7,encoder_self_attention_heads_8,encoder_self_attention_heads_9,encoder_self_attention_heads_10,encoder_self_attention_heads_11,latency,temp
768.0,8.0,2048.0,512.0,2048.0,3072.0,2048.0,3072.0,512.0,2048.0,-1.0,-1.0,-1.0,-1.0,12.0,2.0,4.0,6.0,8.0,2.0,8.0,12.0,-1.0,-1.0,-1.0,-1.0,2.8903427734375,49.0
768.0,8.0,2048.0,512.0,2048.0,3072.0,2048.0,3072.0,512.0,2048.0,-1.0,-1.0,-1.0,-1.0,12.0,2.0,4.0,6.0,8.0,2.0,8.0,12.0,-1.0,-1.0,-1.0,-1.0,1.854710205078125,51.0
768.0,8.0,2048.0,512.0,2048.0,3072.0,2048.0,3072.0,512.0,2048.0,-1.0,-1.0,-1.0,-1.0,12.0,2.0,4.0,6.0,8.0,2.0,8.0,12.0,-1.0,-1.0,-1.0,-1.0,2.92206005859375,52.0
768.0,8.0,2048.0,512.0,2048.0,3072.0,2048.0,3072.0,512.0,2048.0,-1.0,-1.0,-1.0,-1.0,12.0,2.0,4.0,6.0,8.0,2.0,8.0,12.0,-1.0,-1.0,-1.0,-1.0,2.114534423828125,53.0
768.0,8.0,2048.0,512.0,2048.0,3072.0,2048.0,3072.0,512.0,2048.0,-1.0,-1.0,-1.0,-1.0,12.0,2.0,4.0,6.0,8.0,2.0,8.0,12.0,-1.0,-1.0,-1.0,-1.0,2.027278076171875,54.0
768.0,8.0,2048.0,512.0,2048.0,3072.0,2048.0,3072.0,512.0,2048.0,-1.0,-1.0,-1.0,-1.0,12.0,2.0,4.0,6.0,8.0,2.0,8.0,12.0,-1.0,-1.0,-1.0,-1.0,1.9399134521484376,56.0
768.0,8.0,2048.0,512.0,2048.0,3072.0,2048.0,3072.0,512.0,2048.0,-1.0,-1.0,-1.0,-1.0,12.0,2.0,4.0,6.0,8.0,2.0,8.0,12.0,-1.0,-1.0,-1.0,-1.0,1.9181309814453125,56.0
768.0,8.0,2048.0,512.0,2048.0,3072.0,2048.0,3072.0,512.0,2048.0,-1.0,-1.0,-1.0,-1.0,12.0,2.0,4.0,6.0,8.0,2.0,8.0,12.0,-1.0,-1.0,-1.0,-1.0,1.9312718505859374,57.0
768.0,8.0,2048.0,512.0,2048.0,3072.0,2048.0,3072.0,512.0,2048.0,-1.0,-1.0,-1.0,-1.0,12.0,2.0,4.0,6.0,8.0,2.0,8.0,12.0,-1.0,-1.0,-1.0,-1.0,1.8709254150390624,58.0
768.0,8.0,2048.0,512.0,2048.0,3072.0,2048.0,3072.0,512.0,2048.0,-1.0,-1.0,-1.0,-1.0,12.0,2.0,4.0,6.0,8.0,2.0,8.0,12.0,-1.0,-1.0,-1.0,-1.0,1.9030750732421875,59.0
