encoder_embed_dim,encoder_layer_num,encoder_ffn_embed_dim_avg,encoder_self_attention_heads_avg,latency_mean_encoder,latency_std_encoder
360.0,12.0,1493.3333333333333,6.833333333333333,2.1562059204101565,0.4476901561782752
768.0,12.0,2176.0,6.5,2.5865605224609376,0.4802245542967864
600.0,12.0,2346.6666666666665,6.833333333333333,2.6730496053059896,0.4996148855585329
360.0,8.0,1920.0,5.75,2.109722550455729,0.4220511629769244
540.0,10.0,1740.8,6.6,2.213520617675781,0.4221810227496264
480.0,10.0,1433.6,6.2,2.1908622192382814,0.4434509102006748
360.0,8.0,2112.0,7.25,2.22715409342448,0.4869612237593009
768.0,6.0,1877.3333333333333,8.666666666666666,2.282665555826823,0.4457846311100153
360.0,8.0,1664.0,7.0,2.1548787312825524,0.4730591584168577
360.0,12.0,1621.3333333333333,7.5,2.303432926432292,0.4523166510464549
540.0,10.0,1638.4,7.8,2.309219266764323,0.4252276566527754
480.0,8.0,1792.0,7.75,2.193566833496094,0.4299380263480702
768.0,12.0,1578.6666666666667,7.0,2.465472371419271,0.4290913631936844
480.0,8.0,1728.0,7.5,2.2680126057942704,0.4265093055294015
540.0,8.0,1152.0,7.0,2.124967960611979,0.4286720782780265
360.0,8.0,1152.0,7.25,2.0512314900716144,0.4171738502556247
480.0,6.0,2133.333333333333,6.333333333333333,2.043739961751302,0.4238972866538306
360.0,6.0,1536.0,5.666666666666667,2.0358648478190107,0.4184653523460732
540.0,6.0,1280.0,7.0,2.062560811360677,0.4400166233624935
540.0,8.0,1216.0,8.5,2.2712200520833337,0.4469668121816286
360.0,10.0,1894.4,7.0,2.258173885091146,0.4666129824587299
360.0,8.0,1664.0,7.5,2.16631562906901,0.4408264099960963
540.0,8.0,1472.0,6.5,2.184937219238281,0.4232596237531093
768.0,12.0,1536.0,7.666666666666667,2.586391560872394,0.4345708733267632
480.0,10.0,1894.4,8.0,2.2154302408854165,0.414403090188621
540.0,12.0,1834.6666666666667,6.5,2.385964986165365,0.4277322052039599
480.0,12.0,1365.3333333333333,6.0,2.2076929443359377,0.4404676407796039
600.0,6.0,1536.0,6.333333333333333,2.1778281860351565,0.4265088836878368
360.0,12.0,1322.6666666666667,8.0,2.3074429158528647,0.4332107323892044
600.0,10.0,1228.8,7.4,2.248250651041667,0.428163027357913
540.0,10.0,1792.0,6.4,2.2550102539062498,0.4363624020390642
600.0,6.0,1450.6666666666667,5.333333333333333,2.1077460571289066,0.4207837853059849
360.0,6.0,1280.0,9.0,2.0418722778320317,0.4425578271709963
480.0,12.0,1706.6666666666667,6.833333333333333,2.30762616780599,0.4164292766224923
768.0,8.0,2112.0,6.5,2.363757897949218,0.4127055853580205
768.0,10.0,1587.2,4.8,2.414773181152344,0.4516338772796845
480.0,8.0,1216.0,5.5,1.856435754394532,0.4582729402658069
480.0,6.0,1450.6666666666667,6.666666666666667,1.9870288492838544,0.4261467114564041
600.0,10.0,1331.2,8.2,2.27620576171875,0.4313612079458952
360.0,6.0,1365.3333333333333,6.333333333333333,2.000345633951823,0.4206301054883898
540.0,8.0,1728.0,6.5,2.223252868652344,0.4402351210978787
600.0,6.0,2133.333333333333,9.0,2.29015566813151,0.4365529524576069
480.0,8.0,1088.0,7.25,2.1919244791666666,0.4606495876833026
768.0,6.0,853.3333333333334,7.666666666666667,2.3267325927734377,0.4498609515641258
540.0,6.0,1450.6666666666667,6.0,2.1850897745768227,0.46322110860397
600.0,12.0,1493.3333333333333,6.333333333333333,2.3158746337890626,0.4261206953813494
480.0,8.0,1024.0,6.75,2.0487222941080727,0.4311259115841914
600.0,8.0,1792.0,7.25,2.169411100260417,0.4242998642644025
360.0,12.0,1706.6666666666667,8.666666666666666,2.161181416829427,0.4236369902601717
360.0,12.0,1834.6666666666667,6.166666666666667,2.222585046386719,0.4143627539429196
600.0,12.0,1493.3333333333333,8.166666666666666,2.363410286458333,0.4692579980716291
600.0,12.0,1920.0,7.833333333333333,2.5177607828776045,0.4263780185169474
540.0,10.0,1280.0,6.8,2.219233430989583,0.4209822190969974
768.0,10.0,1740.8,7.6,2.593517346191407,0.4503587543829191
480.0,6.0,1621.3333333333333,5.666666666666667,2.033335380045573,0.4099773916994302
600.0,6.0,1109.3333333333333,6.0,2.103577262369792,0.4243887021006962
540.0,8.0,1472.0,7.75,2.1345677775065104,0.4365825962901588
768.0,12.0,1792.0,6.333333333333333,2.501060164388021,0.4639136097033131
480.0,8.0,1472.0,6.0,2.231510485839844,0.4376763829048652
360.0,6.0,2389.333333333333,3.333333333333333,2.061324552408854,0.4445047848910002
480.0,8.0,1920.0,5.5,2.1834601440429684,0.4282965945108363
540.0,6.0,2133.333333333333,5.0,2.1204689697265624,0.4185179773030544
768.0,12.0,1322.6666666666667,6.166666666666667,2.591807942708334,0.5097087867619576
480.0,10.0,1689.6,5.2,2.0168720174153645,0.430284449305508
768.0,6.0,1024.0,6.666666666666667,2.105530216471354,0.4520246705195722
480.0,6.0,2560.0,9.333333333333334,2.1520465209960937,0.4457364433685204
360.0,10.0,1075.2,8.0,2.0972020914713543,0.4241039067426463
540.0,10.0,1331.2,6.0,2.200317240397135,0.4440773274280644
600.0,8.0,2176.0,4.25,2.222317451985677,0.4382124374119822
540.0,10.0,1996.8,5.0,2.3169007771809893,0.4440086437013749
540.0,6.0,1621.3333333333333,6.0,2.1968585978190105,0.4377822417124522
360.0,10.0,1894.4,6.0,2.23496142578125,0.4415541459478872
540.0,6.0,2048.0,5.666666666666667,2.142652624511719,0.4232400473090779
480.0,6.0,1962.6666666666667,7.0,2.1652140096028645,0.4287028729594595
360.0,10.0,1638.4,6.4,2.287244067382813,0.4313327785626819
600.0,10.0,1894.4,7.2,2.3710507242838545,0.4534436349369478
480.0,6.0,2133.333333333333,4.666666666666667,2.0530653157552083,0.4302315305005965
768.0,10.0,1638.4,5.6,2.484244396972657,0.4646814143631365
768.0,6.0,1109.3333333333333,7.0,2.2091948771158854,0.4361497646597863
480.0,8.0,1856.0,7.75,2.133671752929688,0.4262352173279901
480.0,6.0,1450.6666666666667,6.0,2.0616262939453125,0.4349316097281542
360.0,8.0,1792.0,7.25,2.089382352701823,0.4266126657623754
540.0,10.0,1536.0,5.2,2.2475776529947917,0.4200099938365598
480.0,10.0,1484.8,7.6,2.2104985026041666,0.4340345634679649
600.0,12.0,1920.0,6.666666666666667,2.244202775065105,0.4405814811773297
480.0,10.0,1638.4,5.8,2.2224613566080724,0.4307045513938418
360.0,10.0,1024.0,8.6,2.119833740234375,0.4502008541568508
360.0,6.0,1450.6666666666667,9.0,1.952809940592448,0.4612816474799672
360.0,10.0,1638.4,8.8,2.2356486328125,0.4522648510056868
360.0,6.0,2133.333333333333,8.0,2.1662661376953123,0.4568585553781856
768.0,6.0,1450.6666666666667,5.333333333333333,2.321939953613281,0.4506105452962832
540.0,8.0,1472.0,7.5,2.320204166666666,0.4459199568386996
600.0,12.0,1450.6666666666667,6.333333333333333,2.362494913736979,0.4274928056660237
768.0,8.0,1920.0,7.5,2.261677482096354,0.4617435875709016
768.0,8.0,1536.0,7.5,2.3394885945638024,0.426121279601456
768.0,12.0,1792.0,7.5,2.391551322428385,0.4255608888940941
540.0,8.0,1408.0,5.75,2.2927530802408858,0.44180336145643
768.0,12.0,1536.0,7.5,2.4067802042643227,0.4430854091811965
480.0,10.0,2048.0,7.8,2.2391592244466145,0.4665438281062654
480.0,12.0,1322.6666666666667,8.0,2.154393306477864,0.4290410657240065
600.0,12.0,1536.0,5.166666666666667,2.464591743977864,0.46629376759006
360.0,10.0,1382.4,6.2,2.203599051920573,0.4696332105528158
360.0,6.0,1280.0,5.666666666666667,2.0011013753255207,0.4761502181998635
600.0,6.0,1450.6666666666667,7.0,1.937512247721354,0.457758534153265
768.0,6.0,2133.333333333333,5.666666666666667,2.224351346842448,0.4153646972581956
600.0,10.0,1484.8,8.2,2.1447706868489584,0.4838847604267542
360.0,8.0,1280.0,7.5,2.136971573893229,0.4236136480381463
768.0,8.0,1856.0,5.25,2.328781555175781,0.4232777029743101
768.0,8.0,2048.0,6.5,2.4904908162434896,0.488390405970766
480.0,6.0,1706.6666666666667,8.333333333333334,2.186741674804688,0.4555764034957406
600.0,8.0,1408.0,9.5,2.224281888834636,0.4471498196330861
480.0,6.0,1792.0,8.333333333333334,2.035770227050781,0.4339398248306227
768.0,10.0,1382.4,6.6,2.2393472574869797,0.4584908553293157
768.0,8.0,1984.0,6.75,2.343902185058594,0.5109020984452927
600.0,10.0,2048.0,6.2,2.4246428344726567,0.4829261576065651
768.0,12.0,1792.0,6.666666666666667,2.431739347330729,0.4608743485760733
540.0,6.0,1877.3333333333333,7.333333333333333,2.0893575032552083,0.4188635891575135
540.0,6.0,1109.3333333333333,6.666666666666667,2.039385380045573,0.4198511887501285
768.0,8.0,1856.0,5.75,2.4340599568684893,0.4423963953753483
480.0,12.0,1834.6666666666667,6.833333333333333,2.34618592936198,0.4210259560218733
360.0,6.0,2389.333333333333,8.666666666666666,2.099552994791667,0.4821403672565336
360.0,10.0,1792.0,8.4,2.166508410644531,0.4304119677287202
540.0,12.0,1664.0,6.333333333333333,2.3484243611653643,0.4286336086642094
768.0,6.0,1621.3333333333333,6.333333333333333,2.063297900390625,0.4571746125157769
600.0,6.0,2048.0,9.0,2.2495732259114587,0.4471347284470144
768.0,8.0,2112.0,5.5,2.3160918375651045,0.4266501136388139
540.0,8.0,1152.0,7.25,2.137298034667969,0.4249017230135647
480.0,6.0,1365.3333333333333,9.666666666666666,2.173821573893229,0.4591869106819382
540.0,6.0,2304.0,6.0,2.121544970703125,0.4237029807563929
768.0,12.0,1749.3333333333333,7.5,2.788533854166666,0.467291701494361
540.0,6.0,2304.0,5.333333333333333,2.1442090087890624,0.4254161398347849
600.0,10.0,1382.4,9.2,2.2311854736328125,0.4415579131152192
768.0,8.0,1792.0,6.5,2.3052800048828126,0.4473511330696335
600.0,6.0,1706.6666666666667,9.333333333333334,2.229548612467448,0.4550075311721396
600.0,12.0,1578.6666666666667,8.0,2.300204178873697,0.4606069727866012
540.0,6.0,1450.6666666666667,6.666666666666667,1.986479276529948,0.4457397956148494
600.0,10.0,2355.2,6.0,2.460058272298177,0.4625232888266262
480.0,6.0,1536.0,5.333333333333333,2.0804638590494795,0.4686084656260401
600.0,8.0,1216.0,7.75,2.3192876180013022,0.4468264220201467
540.0,12.0,1493.3333333333333,6.833333333333333,2.2740431355794275,0.4438767065410164
540.0,12.0,1322.6666666666667,5.5,2.3248816040039064,0.4299578703423473
480.0,6.0,2048.0,9.0,2.108759293619792,0.4505145121824964
600.0,8.0,1088.0,8.25,2.259744510904948,0.4703618207880027
768.0,8.0,1216.0,6.0,2.1201981892903645,0.4679231549202713
540.0,10.0,2099.2,7.2,2.2982779541015623,0.4412903390097122
480.0,8.0,1216.0,5.5,2.1879326253255207,0.4462269451420535
540.0,12.0,1749.3333333333333,7.0,2.3788630818684893,0.444487355754061
360.0,12.0,1664.0,7.0,2.1819586140950524,0.4309064896608797
