"Step","[baselines]c4_realnews_attention_none_K=1_pretraining - SuperTransformer Perplexity","[baselines]c4_realnews_attention_none_K=1_pretraining - SuperTransformer Perplexity__MIN","[baselines]c4_realnews_attention_none_K=1_pretraining - SuperTransformer Perplexity__MAX"
"13611","4.245280663394839","4.245280663394839","4.245280663394839"
"27223","4.177420941658819","4.177420941658819","4.177420941658819"
"40835","4.061357478319287","4.061357478319287","4.061357478319287"
"54447","3.962260608084448","3.962260608084448","3.962260608084448"
"68059","3.9376778194813786","3.9376778194813786","3.9376778194813786"
"81671","3.8277632558807424","3.8277632558807424","3.8277632558807424"
"95283","3.80919484851716","3.80919484851716","3.80919484851716"
"108895","3.7911652681098644","3.7911652681098644","3.7911652681098644"
"122507","3.762995141368263","3.762995141368263","3.762995141368263"
"136119","3.7020651757580603","3.7020651757580603","3.7020651757580603"
"149731","3.6929072044594946","3.6929072044594946","3.6929072044594946"
"163343","3.6130953864427866","3.6130953864427866","3.6130953864427866"
"176955","3.631445904956075","3.631445904956075","3.631445904956075"
"190567","3.6573195595998844","3.6573195595998844","3.6573195595998844"
"204179","3.5863796512397306","3.5863796512397306","3.5863796512397306"
"217791","3.5712812437705805","3.5712812437705805","3.5712812437705805"
"231403","3.578426169041812","3.578426169041812","3.578426169041812"
"245015","3.579030259629841","3.579030259629841","3.579030259629841"
"258627","3.587450773235166","3.587450773235166","3.587450773235166"
"272239","3.5459959755453707","3.5459959755453707","3.5459959755453707"
"285851","3.493783980608876","3.493783980608876","3.493783980608876"
"299463","3.4464730974081794","3.4464730974081794","3.4464730974081794"
"313075","3.478423901878457","3.478423901878457","3.478423901878457"
"326687","3.489282527338997","3.489282527338997","3.489282527338997"
