"Step","c4_realnews_bert-bottleneck_random_K=1_pretraining - SuperTransformer Perplexity","c4_realnews_bert-bottleneck_random_K=1_pretraining - SuperTransformer Perplexity__MIN","c4_realnews_bert-bottleneck_random_K=1_pretraining - SuperTransformer Perplexity__MAX"
"13586","5.179774706373273","5.179774706373273","5.179774706373273"
"27173","4.901654431862159","4.901654431862159","4.901654431862159"
"40760","4.736036933412878","4.736036933412878","4.736036933412878"
"54347","4.655643853018137","4.655643853018137","4.655643853018137"
"67934","4.572372819332372","4.572372819332372","4.572372819332372"
"81521","4.45494723486756","4.45494723486756","4.45494723486756"
"95108","4.37301951222568","4.37301951222568","4.37301951222568"
"108695","4.347230288735938","4.347230288735938","4.347230288735938"
"122282","4.306511023262501","4.306511023262501","4.306511023262501"
"135869","4.209551518667989","4.209551518667989","4.209551518667989"
"149456","4.249773459351174","4.249773459351174","4.249773459351174"
"163043","4.141006891023199","4.141006891023199","4.141006891023199"
"176630","4.085931529381882","4.085931529381882","4.085931529381882"
"190217","4.109875199664632","4.109875199664632","4.109875199664632"
"203804","4.098098871083713","4.098098871083713","4.098098871083713"
"217391","4.099595516154571","4.099595516154571","4.099595516154571"
"230978","3.9991179637573486","3.9991179637573486","3.9991179637573486"
"244565","4.008827414064856","4.008827414064856","4.008827414064856"
"258152","4.013987159120858","4.013987159120858","4.013987159120858"
"271739","3.992832905614662","3.992832905614662","3.992832905614662"
"285326","4.003643278792685","4.003643278792685","4.003643278792685"
"298913","3.952170633793138","3.952170633793138","3.952170633793138"
"312500","3.930410122376137","3.930410122376137","3.930410122376137"
"326087","3.9077225480060447","3.9077225480060447","3.9077225480060447"
"339674","3.899961969365734","3.899961969365734","3.899961969365734"
"353261","3.9225273320937006","3.9225273320937006","3.9225273320937006"
"353944","3.951558205159563","3.951558205159563","3.951558205159563"
